ID,Sentence,VALIDITY
44,"JE SOUHAITE ME RENDRE A ['ORLEANS', 'ORLEANS', 'ORLEAN', 'ORLEAN'] DEPUIS HENDAYE",VALID
45,issy-les-moulineaux - sartrouville,VALID
46,DEP GENEVE ARR VILLEURBANNE,VALID
47,"je pars de ['perpignan', 'perpignan', 'perpign', 'perp'] pour rejoindre millau",VALID
48,TRAIN SAINT-ÉTIENNE AVIGNON AVEC MES BAGAGES 🚄,VALID
49,Dax - Auxerre,VALID
50,clichy -> mende,VALID
51,arrivée la seyne-sur-mer départ Dax,VALID
52,aller simple de narbonne a auch,VALID
53,train bergerac clamart Stp,VALID
54,voyage  villeneuve-d'ascq  auch,VALID
55,"aller de ['poitiers', 'Poitiers', 'poitier', 'poit'] à Bergerac en passant par Lyon",VALID
56,chui a Le Mans je dois aller sur Pessac,VALID
57,billet reims issy-les-moulineaux,VALID
58,j'aimerais aller de Hendaye jusqu'a Geneve,VALID
59,aller de bourges à auch en passant par rennes,VALID
60,"j'ai besoin d'aller de ['limoge', 'limoges', 'limog', 'limogess'] a Metz",VALID
61,"arrivée ['toulon', 'toulon', 'toulonn', 'toul'] départ moulins",VALID
62,donne moi un trajet de strasbourg a vannes,VALID
63,aller a Alès depuis Nancy,VALID
64,JE VEUX UN TRAIN DAX > SAINT-DENIS,VALID
65,jveux aller de Colmar a Fontenay-sous-Bois,VALID
66,je dois aller à Figeac depuis Antony pour voir ma mère,VALID
67,Je dois aller à clermont-ferrand depuis albi Pour voir ma mère,VALID
68,vincennes → moulins,VALID
69,"DEPART POITIERS DEST ['RENNES', 'RENNES', 'RENNE', 'REN']",VALID
70,"COMMENT ALLER A ['MONTPELIÉ', 'MONTPELLIER', 'MONTPELIER', 'MONTPEL'] DEPUIS SAINT-ÉTIENNE",VALID
71,de le mans vers saint-étienne,VALID
72,je veux Un train marseille > Clichy,VALID
73,"depuis ['le havre', 'le havre', 'havre', 'hav'] jusqu'a pessac",VALID
74,"VOYAGE DAX ['LILLE', 'LILLE', 'LIL', 'LILLEE']",VALID
75,Bruxelles - briançon,VALID
76,on part d'où pour aller à Sarlat-la-Canéda,VALID
77,arrivée périgueux départ Clermont-Ferrand,VALID
78,je veux aller de privas à moulins demain matin,VALID
79,"je  dois  aller   à   Cahors  en  partant   de   ['besancon',  'besançon',  'besanc',  'besan']",VALID
80,"je voudrais aller de calais à ['annecy', 'annecy', 'anneci', 'anne']",VALID
81,je dois aller a Millau depuis Agen pour voir ma mere,VALID
82,GRASSE -> NANTES,VALID
83,chui a Bordeaux je dois aller sur auxerre,VALID
84,"DEPART ['AVIGNON', 'AVIGNON', 'AVIGNONN', 'AVIGN'] DEST NEUILLY-SUR-SEINE",VALID
85,depuis Reims jusqu'à Dijon,VALID
86,je cherche un train de aix-en-provence à mont-de-marsan 🚆,VALID
87,chui a Clichy je dois aller sur Privas,VALID
88,je cherche un train de Hyeres a Paris,VALID
89,chui a blois je dois aller sur Rueil-Malmaison,VALID
90,je pars de Saint-Denis arrivée Pessac,VALID
91,"je veux Quitter ['marseile', 'marseille', 'marseil', 'marseylle'] pour aller À cannes",VALID
92,lausanne - Annecy,VALID
93,"de Orleans vers ['mulhouse', 'Mulhouse', 'mulhous', 'mulh']",VALID
94,quel train existe entre Carcassonne et Mont-de-Marsan,VALID
95,voyage  Gap  Champigny-sur-Marne,VALID
96,aller a Bergerac depuis Cahors,VALID
97,"🚄 COMMENT ALLER A NEVERS DEPUIS ['BORDO', 'BORDEAUX', 'BORDAUX', 'BORDOEUX']",VALID
98,je veux aller de Boulogne-Billancourt à périgueux demain matin,VALID
99,JE VOUDRAIS ALLER DE PÉRIGUEUX À HENDAYE,VALID
100,ALLER DE CLICHY À SARLAT-LA-CANÉDA EN PASSANT PAR HYÈRES 🎫,VALID
101,voyage Belfort Paris,VALID
102,"jveux un train pour ['annecy', 'annecy', 'anneci', 'anne'] depuis privas",VALID
103,je souhaite me rendre à Annecy depuis Cahors,VALID
104,aller simple de antibes à Aix-en-provence,VALID
105,"VOYAGE NANCY ['LYON', 'LYON', 'LYONN', 'LION']",VALID
106,peux-tu me calculer un trajet La Seyne-sur-Mer sartrouville,VALID
107,je voudrais aller de Hendaye a La Rochelle,VALID
108,quel train existe entre amiens et limoges,VALID
109,ALLER DE CANNES À SAINT-JEAN-DE-LUZ,VALID
110,"direction versailles depuis ['rouen', 'rouen', 'rouenn', 'rou']",VALID
111,"train agen ['grenoble', 'grenoble', 'grenoblle', 'grenob'] stp",VALID
112,je veux quitter Besançon pour aller à Mérignac,VALID
113,COMMENT ALLER A MONTPELLIER DEPUIS MERIGNAC,VALID
114,ALLER DE TOULON À ROUEN,VALID
115,billet castres privas,VALID
116,de Foix à Sarlat-la-Canéda,VALID
117,direction la rochelle depuis niort,VALID
118,💨 itinéraire Le Havre pantin,VALID
119,je cherche un train de nice à figueres,VALID
120,donne moi un trajet de poitiers a roubaix,VALID
121,je souhaite me rendre à versailles depuis strasbourg,VALID
122,"🚂 je veux aller de ['valence', 'valence', 'valenc', 'val'] à la rochelle",VALID
123,depart luxembourg dest antibes,VALID
124,je veux quitter Laval pour aller à Courbevoie,VALID
125,trajet Courbevoie Montauban pour ce soir,VALID
126,"de Brive-la-Gaillarde à ['cannes', 'Cannes', 'cann', 'can']",VALID
127,je voudrais aller de lausanne à tourcoing,VALID
128,Tourcoing - moulins,VALID
129,itinéraire  Millau  Reims,VALID
130,Évreux - Nanterre,VALID
131,je souhaite me rendre a dax depuis villeneuve-d'ascq,VALID
132,"de pantin à ['nice', 'nice', 'nise', 'niss']",VALID
133,arrivée foix départ rouen,VALID
134,aller simple de Belfort a Bruxelles,VALID
135,je dois aller à Béziers en partant de Mérignac,VALID
136,"jveux  aller   de   ['orleans',  'orléans',  'orlean',  'orléan']  a  Pau",VALID
137,"j'aimerais  aller   de   Évry  jusqu' à   ['nantes',  'Nantes',  'nante',  'nant']",VALID
138,aller simple de pau à mende,VALID
139,voyage amiens millau,VALID
140,je vais de châlons-en-champagne à carcassonne,VALID
141,"je pars de ['nimes', 'nîmes', 'nime', 'nim'] arrivée Lausanne",VALID
142,PEUX-TU ME CALCULER UN TRAJET SÈTE METZ,VALID
143,"quel train existe entre luxembourg et ['orleans', 'orléans', 'orlean', 'orléan']",VALID
144,TRAIN BELFORT LA ROCHELLE AVEC MES BAGAGES,VALID
145,De  sarlat-la-canéda  vers  Neuilly-sur-seine,VALID
146,trajet depuis narbonne vers Drancy,VALID
147,je  pars   de   clichy  arrivée  Tarbes,VALID
148,quels trains sont dispo de auch vers Lyon 🚂,VALID
149,arrivée grasse départ reims,VALID
150,JE CHERCHE UN TRAIN DE CANNES À PANTIN,VALID
151,arrivée évreux départ gourdon,VALID
152,trajet depuis la seyne-sur-mer vers brive-la-gaillarde,VALID
153,JVEUX ALLER DE NANCY A PANTIN,VALID
154,jveux Un Train Pour figeac Depuis antony,VALID
155,comment me rendre à rouen depuis nîmes,VALID
156,billet  Brest  Beziers,VALID
157,Je souhaite me rendre a châlons-en-champagne Depuis colmar,VALID
158,je veux rejoindre brive-la-gaillarde depuis Figeac,VALID
159,"je pars de Tarbes arrivée ['nimes', 'nîmes', 'nime', 'nim']",VALID
160,dep saint-étienne arr béziers,VALID
161,depuis mulhouse jusqu'à tarbes,VALID
162,"comment me rendre à ['lille', 'lille', 'lil', 'lillee'] depuis béziers",VALID
163,j'aimerais aller de Boulogne-Billancourt jusqu'à Niort,VALID
164,"je dois aller à ['pau', 'Pau', 'pauu', 'pa'] en partant de Amiens",VALID
165,JE PARS DE PÉRIGUEUX POUR REJOINDRE BORDEAUX,VALID
166,"je pars de ['tours', 'Tours', 'tour', 'toursse'] arrivee Nanterre",VALID
167,"billet ['luxembourg', 'Luxembourg', 'lux', 'luxemb'] Le Mans pour un rdv",VALID
168,arrivée avignon départ dax,VALID
169,de Castres à Strasbourg,VALID
170,"je dois aller a ['perpignan', 'Perpignan', 'perpign', 'perp'] depuis Évreux pour voir ma mere",VALID
171,"je  veux  rejoindre  ['orleans',  'orléans',  'orlean',  'orléan']   de puis  Grasse",VALID
172,"trajet depuis nevers vers ['le mans', 'Le Mans', 'mans', 'man']",VALID
173,"aller de Versailles à ['clermont ferrand', 'clermont-ferrand', 'clermont', 'clerm'] 🚄",VALID
174,"['geneve', 'Genève', 'gen', 'gene'] Pantin svp",VALID
175,BILLET LAUSANNE FIGUERES POUR UN RDV,VALID
176,rueil-malmaison > Pessac,VALID
177,"dep Blois arr ['nantes', 'Nantes', 'nante', 'nant']",VALID
178,Villeurbanne bourges svp,VALID
179,train Digne-les-bains amiens,VALID
180,jveux un train pour Blois depuis Grenoble,VALID
181,Chartres > Aix-en-Provence,VALID
182,toulouse avignon svp 🚄,VALID
183,direction  cahors   de puis  châteauroux,VALID
184,"j'aimerais aller de ['montpelié', 'montpellier', 'montpelier', 'montpel'] jusqu'à roubaix",VALID
185,trajet toulon bobigny pour ce soir ✈️,VALID
186,ON PART D'OÙ POUR ALLER À AGEN,VALID
187,"aller  simple   de   ['avignon',  'avignon',  'avignonn',  'avign']   à   châlons-en-champagne",VALID
188,"dep Boulogne-Billancourt arr ['rennes', 'Rennes', 'renne', 'ren']",VALID
189,"trajet depuis Antibes vers ['dijon', 'Dijon', 'dijonn', 'dij']",VALID
190,bobigny - grasse,VALID
191,billet cahors laval pour un rdv,VALID
192,quel Train existe entre sète et poitiers 🎫,VALID
193,je vais de Narbonne à Hendaye,VALID
194,💨 JE SOUHAITE ME RENDRE A VINCENNES DEPUIS BIARRITZ,VALID
195,aller de poitiers à dijon en passant par luxembourg,VALID
196,peux-tu me calculer un trajet valence colmar,VALID
197,"billet Créteil ['nancy', 'Nancy', 'nancie', 'nanc'] pour un rdv",VALID
198,sartrouville figueres svp,VALID
199,JVEUX UN TRAIN POUR HENDAYE DEPUIS BOBIGNY,VALID
200,je veux aller de Grenoble à Bourges,VALID
201,chui a Vincennes je dois aller sur Castres 🚂,VALID
202,voyage Dunkirk Blois,VALID
203,train Versailles Bobigny stp,VALID
204,quels trains sont dispo de albi vers colmar,VALID
205,depuis Montpellier jusqu'à Privas,VALID
206,de puis  Pessac  jusqu' à   Béziers,VALID
207,peux-tu me calculer un trajet Toulouse Privas,VALID
208,"ALLER A GRENOBLE DEPUIS ['LE HAVRE', 'LE HAVRE', 'HAVRE', 'HAV']",VALID
209,"je pars de ['biarritz', 'biarritz', 'biaritz', 'biar'] arrivée périgueux",VALID
210,JE VOUDRAIS ALLER DE RODEZ À FONTENAY-SOUS-BOIS,VALID
211,quel train existe entre Dax et Nanterre,VALID
212,train Antibes Roubaix avec mes bagages,VALID
213,"train courbevoie ['limoge', 'limoges', 'limog', 'limogess'] stp",VALID
214,train Montpellier Tourcoing stp,VALID
215,train agen Privas avec mes bagages,VALID
216,quels trains sont dispo de angers vers dax,VALID
217,chui a Versailles je dois aller sur Vincennes,VALID
218,"quel train existe entre ['toulousse', 'toulouse', 'toulouze', 'toulouz'] et Valence",VALID
219,COMMENT ALLER A ANNECY DEPUIS SAINT-JEAN-DE-LUZ,VALID
220,📍 je veux un train Arles > Nantes,VALID
221,"💨 trajet ['tours', 'tours', 'tour', 'toursse'] clichy pour ce soir",VALID
222,JE VEUX ALLER DE STRASBOURG À RENNES,VALID
223,train drancy mérignac stp,VALID
224,je pars de Rouen pour rejoindre Libourne,VALID
225,"je cherche un train de Gap a ['orleans', 'orleans', 'orlean', 'orlean']",VALID
226,depart nantes Dest la Seyne-sur-mer,VALID
227,DEP SAINT-DENIS ARR PESSAC,VALID
228,depuis Gap jusqu'a Châlons-en-Champagne,VALID
229,billet reims villeneuve-d'ascq,VALID
230,de bordeaux à carcassonne,VALID
231,j'aimerais aller de nantes jusqu'a Bruxelles,VALID
232,chui a brest Je dois aller Sur avignon,VALID
233,aller simple de Arles à Mont-de-Marsan,VALID
234,"JE DOIS ALLER À ['ROUEN', 'ROUEN', 'ROUENN', 'ROU'] DEPUIS ['ORLEANS', 'ORLÉANS', 'ORLEAN', 'ORLÉAN'] POUR VOIR MA MÈRE",VALID
235,"jveux aller de issy-les-moulineaux a ['mulhouse', 'mulhouse', 'mulhous', 'mulh']",VALID
236,"de   évreux  À  ['dunkerque',  'dunkerque',  'dunk',  'dun']",VALID
237,Je  souhaite  me  rendre   à   tourcoing  Depuis  hyères,VALID
238,je dois aller à niort depuis champigny-sur-marne pour voir ma mère,VALID
239,train  villeurbanne  Antibes  stp,VALID
240,depuis Briancon direction Angers,VALID
241,billet  briançon  troyes,VALID
242,jveux aller de Pessac a Besançon,VALID
243,ALLER SIMPLE DE FIGUERES À AMIENS,VALID
244,aller  simple   de   Bor de aux   à   Tarbes,VALID
245,je  veux  un  train  Narbonne  >  cergy,VALID
246,"['besancon', 'besançon', 'besanc', 'besan'] rodez svp",VALID
247,aller de Nancy à drancy,VALID
248,De  issy-les-moulineaux   à   sarlat-la-canéda,VALID
249,donne moi un trajet de valence à toulouse,VALID
250,voyage  mérignac  agen,VALID
251,Narbonne Gap,VALID
252,je dois aller à Orléans en partant de Limoges,VALID
253,"ON PART D'OÙ POUR ALLER A ['CAEN', 'CAEN', 'CAENN', 'CAN']",VALID
254,"aller de bayonne à ['toulousse', 'toulouse', 'toulouze', 'toulouz']",VALID
255,"itinéraire  Libourne  ['dijon',  'Dijon',  'dijonn',  'dij']",VALID
256,aller de rodez a Lyon en passant par Poitiers,VALID
257,Nanterre Pau svp,VALID
258,je veux un train nice > nevers,VALID
259,je souhaite Me Rendre a valence Depuis nantes,VALID
260,je dois aller à valence depuis arles pour voir ma mère,VALID
261,je dois aller à châlons-en-champagne en partant de Issy-les-Moulineaux,VALID
262,jveux aller de châteauroux a nîmes,VALID
263,"JE VEUX REJOINDRE ['CANNES', 'CANNES', 'CANN', 'CAN'] DEPUIS CAEN",VALID
264,je pars de Orleans arrivee bourges,VALID
265,je dois aller à lausanne en partant de nevers,VALID
266,"🚄 comment me rendre À ['grenoble', 'grenoble', 'grenoblle', 'grenob'] depuis meaux",VALID
267,de puis  marseille  direction  nanterre,VALID
268,J'AIMERAIS ALLER DE NÎMES JUSQU'À SARTROUVILLE,VALID
269,train Fontenay-sous-bois bourges 📍,VALID
270,🚂 billet montpellier champigny-sur-marne pour un rdv,VALID
271,depart bayonne dest cahors,VALID
272,comment me rendre à Briançon depuis Nancy,VALID
273,🚆 Aller de Lausanne A Agen en passant Par le havre,VALID
274,je vais De montpellier à bourges,VALID
275,on part d'où pour aller à Arles,VALID
276,"['mulhouse', 'mulhouse', 'mulhous', 'mulh'] - Mende",VALID
277,peux-tu me calculer un trajet Poitiers Rodez,VALID
278,peux-tu me trouver un train de Valence a Saint-Étienne,VALID
279,PEUX-TU ME CALCULER UN TRAJET SARLAT-LA-CANÉDA ÉVREUX,VALID
280,je dois Aller À tourcoing depuis mérignac pour voir Ma mère,VALID
281,JVEUX UN TRAIN POUR TARBES DEPUIS PÉRIGUEUX,VALID
282,hendaye  -  châlons-en-champagne,VALID
283,on part d'où pour aller à Dunkirk,VALID
284,nanterre Strasbourg Svp,VALID
285,"['rennes', 'Rennes', 'renne', 'ren'] Figeac svp",VALID
286,je dois aller à vannes en partant de niort,VALID
287,"🚆 je veux rejoindre tarbes depuis ['mulhouse', 'mulhouse', 'mulhous', 'mulh']",VALID
288,COMMENT  ME  RENDRE  À  BOBIGNY  DEPUIS  SARTROUVILLE,VALID
289,je veux aller de Millau à nevers,VALID
290,billet Perpignan Ales,VALID
291,JE VEUX REJOINDRE DRANCY DEPUIS LUXEMBOURG,VALID
292,créteil  -  amiens,VALID
293,aller a Arles depuis Caen,VALID
294,trajet depuis rueil-malmaison vers paris,VALID
295,TRAJET DEPUIS NANCY VERS RENNES,VALID
296,quel train existe entre saint-jean-de-luz et carcassonne,VALID
297,ALLER SIMPLE DE GRASSE À VILLEURBANNE,VALID
298,je pars de Tarbes arrivée Annecy,VALID
299,billet  Arcachon  Boulogne-Billancourt,VALID
300,arrivée Reims départ villeneuve-d'ascq,VALID
301,je souhaite me rendre à tours depuis montauban,VALID
302,quel train existe entre Nancy et Bordeaux,VALID
303,"j'aimerais aller de Toulouse jusqu'à ['brest', 'Brest', 'brestt', 'bres']",VALID
304,💨 on part d'où pour aller à Moulins,VALID
305,itinéraire  Pantin  auch,VALID
306,dep bergerac arr sète,VALID
307,sartrouville - nîmes,VALID
308,"train ['valence', 'Valence', 'valenc', 'val'] Bayonne avec mes bagages",VALID
309,BILLET  CHAMPIGNY-SUR-MARNE  BREST,VALID
310,"depuis Belfort jusqu'à ['limoge', 'limoges', 'limog', 'limogess']",VALID
311,"trajet ['pau', 'pau', 'pauu', 'pa'] bourges pour ce soir",VALID
312,ALLER  DE  CERGY  A  LA  ROCHELLE,VALID
313,"je souhaite me rendre A Saint-jean-de-luz depuis ['nancy', 'nancy', 'nancie', 'nanc']",VALID
314,🎫 j'aimerais aller de Luxembourg jusqu'à Sète,VALID
315,la seyne-sur-mer → mende,VALID
316,je  pars   de   Millau  arrivee  Auxerre,VALID
317,direction bobigny depuis grasse,VALID
318,trajet depuis auxerre vers périgueux,VALID
319,aller de Issy-les-Moulineaux à Bergerac,VALID
320,💨 chui a figueres je dois aller sur dax,VALID
321,train Roubaix Amiens,VALID
322,🎫  PEUX-TU  ME  CALCULER  UN  TRAJET  BLOIS  PANTIN,VALID
323,train nice fontenay-sous-bois stp,VALID
324,aller de colmar a carcassonne,VALID
325,train Saint-jean-de-luz antony,VALID
326,🎫 itineraire Boulogne-Billancourt pantin,VALID
327,"jveux un train pour ['dunkerque', 'dunkerque', 'dunk', 'dun'] depuis ['toulousse', 'toulouse', 'toulouze', 'toulouz']",VALID
328,"Trajet sarlat-la-canéda ['angers', 'angers', 'anger', 'ang'] Pour ce soir",VALID
329,🎫 PEUX-TU ME CALCULER UN TRAJET GOURDON AUCH,VALID
330,donne moi un trajet de Chartres à Brive-la-Gaillarde,VALID
331,depuis perpignan direction sartrouville,VALID
332,"je veux aller de ['caen', 'Caen', 'caenn', 'can'] à Rouen demain matin",VALID
333,je veux un train issy-les-moulineaux > nevers,VALID
334,"je veux un train Boulogne-Billancourt > ['tours', 'Tours', 'tour', 'toursse']",VALID
335,depuis Villeurbanne jusqu'à Montauban,VALID
336,peux-tu me trouver un train de antibes à Blois,VALID
337,de nanterre a privas,VALID
338,je veux aller de Brest à Libourne,VALID
339,"direction évreux depuis ['mulhouse', 'mulhouse', 'mulhous', 'mulh']",VALID
340,train nancy aix-en-provence,VALID
341,je voudrais aller de Strasbourg à Le Mans,VALID
342,"je veux rejoindre ['reims', 'reims', 'reim', 'reimss'] depuis nice",VALID
343,"Train ['pau', 'pau', 'pauu', 'pa'] Sartrouville",VALID
344,aller de fontenay-sous-bois à issy-les-moulineaux en passant par rennes,VALID
345,aller a antibes depuis reims,VALID
346,"train ['mulhouse', 'mulhouse', 'mulhous', 'mulh'] périgueux",VALID
347,comment aller a alès depuis briançon,VALID
348,PEUX-TU ME TROUVER UN TRAIN DE HENDAYE À VALENCE 🚆,VALID
349,aller simple de Besançon à Laval,VALID
350,"JE  VEUX  ALLER  DE  ['TOULON',  'TOULON',  'TOULONN',  'TOUL']  À  STRASBOURG  DEMAIN  MATIN",VALID
351,dep Lyon arr Gap,VALID
352,jveux aller de biarritz a vannes,VALID
353,jveux aller de issy-les-moulineaux a Limoges,VALID
354,Chartres Geneve,VALID
355,JE VEUX ALLER DE NANTERRE À FOIX DEMAIN MATIN,VALID
356,donne moi un trajet de Bourges à Le Mans,VALID
357,"['angers', 'Angers', 'anger', 'ang'] - Bourges",VALID
358,Biarritz arcachon,VALID
359,peux-tu me calculer un trajet Reims Arcachon,VALID
360,"de ['le havre', 'Le Havre', 'havre', 'hav'] vers Libourne",VALID
361,jveux aller de bergerac a issy-les-moulineaux 🚂,VALID
362,aller a Laval depuis Drancy,VALID
363,direction Alès depuis Périgueux,VALID
364,je pars de Nîmes arrivée Agen,VALID
365,"📍 je souhaite me rendre à Villeneuve-d'Ascq depuis ['valence', 'Valence', 'valenc', 'val']",VALID
366,Bourges Mérignac,VALID
367,je dois aller a lorient depuis figueres pour voir ma mere,VALID
368,je cherche un train de Mulhouse à Rouen,VALID
369,Mérignac -> cahors,VALID
370,"voyage Toulon ['besancon', 'besancon', 'besanc', 'besan']",VALID
371,Je Souhaite me rendre à toulon Depuis courbevoie,VALID
372,comment aller a fontenay-sous-bois depuis périgueux,VALID
373,BRIANCON PESSAC SVP 📍,VALID
374,"billet figeac ['saint etienne', 'saint-étienne', 'st etienne', 'st-étienne'] pour un rdv",VALID
375,DEP CASTRES ARR RODEZ,VALID
376,train orléans lille,VALID
377,depuis Pantin direction Troyes,VALID
378,VOYAGE VANNES NARBONNE,VALID
379,"trajet depuis Grasse vers ['nice', 'Nice', 'nise', 'niss']",VALID
380,billet Hyères Angers,VALID
381,TRAJET DEPUIS NEUILLY-SUR-SEINE VERS ALBI,VALID
382,arrivée neuilly-sur-seine départ rennes,VALID
383,je vais de nantes à meaux,VALID
384,depuis Tarbes Direction villeneuve-d'ascq,VALID
385,"['brest', 'brest', 'brestt', 'bres'] → Mulhouse",VALID
386,j'ai besoin d'aller de sete a cergy,VALID
387,trajet depuis Châteauroux vers Issy-les-Moulineaux,VALID
388,depuis grasse direction chartres,VALID
389,🚄  aller  simple   de   clermont-ferrand   à   briançon,VALID
390,jveux  un  train  pour  strasbourg   de puis  sarlat-la-canéda,VALID
391,"direction sartrouville depuis ['caen', 'Caen', 'caenn', 'can']",VALID
392,trajet Brest Mende pour ce soir,VALID
393,je  vais   de   sartrouville   à   Aix-en-Provence,VALID
394,je vais de Privas à Villeurbanne,VALID
395,💨 je voudrais aller de Alès à Rouen,VALID
396,"je dois aller a mende depuis ['biarritz', 'Biarritz', 'biaritz', 'biar'] pour voir ma mere",VALID
397,comment aller a Clamart depuis mérignac,VALID
398,depart Mérignac dest Lyon,VALID
399,depuis Toulon jusqu'à Évreux,VALID
400,voyage Saint-Denis Gourdon,VALID
401,je veux rejoindre Sartrouville depuis Créteil,VALID
402,je souhaite me rendre à Agen depuis Saint-Jean-de-Luz 💨,VALID
403,peux-tu me trouver un train de Saint-Étienne à Amiens,VALID
404,ON PART D'OÙ POUR ALLER À TROYES,VALID
405,quels trains sont dispo de brive-la-gaillarde vers narbonne,VALID
406,DE NANTERRE À VANNES,VALID
407,donne moi un trajet de narbonne à orléans,VALID
408,"itinéraire ['perpignan', 'perpignan', 'perpign', 'perp'] gourdon",VALID
409,J'AI BESOIN D'ALLER DE GENÈVE A HENDAYE,VALID
410,"billet ['biarritz', 'Biarritz', 'biaritz', 'biar'] Gourdon",VALID
411,aller de marseille à hendaye,VALID
412,"comment aller a lorient depuis ['besancon', 'besançon', 'besanc', 'besan']",VALID
413,billet Tarbes belfort pour un rdv,VALID
414,jveux aller de Aix-en-Provence a Auch,VALID
415,itinéraire Lausanne créteil,VALID
416,je  pars   de   meaux  arrivee  fontenay-sous-bois,VALID
417,train Valence Évreux avec mes bagages,VALID
418,quel train existe entre Brive-la-Gaillarde et Montauban,VALID
419,aller de champigny-sur-marne à digne-les-bains,VALID
420,"['angers', 'Angers', 'anger', 'ang'] > Narbonne 🚆",VALID
421,"comment aller a bayonne depuis ['rennes', 'rennes', 'renne', 'ren']",VALID
422,j'ai  Besoin  D'aller  De  Albi  a  nantes,VALID
423,trajet champigny-sur-marne évreux pour ce soir,VALID
424,sarlat-la-caneda valence svp,VALID
425,JE DOIS ALLER À MILLAU EN PARTANT DE FIGEAC,VALID
426,arrivée gap départ belfort,VALID
427,peux-tu me trouver un train de troyes à boulogne-billancourt,VALID
428,direction tourcoing depuis merignac,VALID
429,train clamart Antibes,VALID
430,"je pars de laval pour rejoindre ['rennes', 'rennes', 'renne', 'ren']",VALID
431,"je dois aller a Figueres en partant de ['nice', 'Nice', 'nise', 'niss']",VALID
432,je pars de châlons-en-champagne arrivée toulon,VALID
433,aller a Saint-Denis depuis Le Havre,VALID
434,digne-les-bains  >  Vincennes,VALID
435,je pars De castres arrivée périgueux,VALID
436,hyères → pessac,VALID
437,train Figueres Bruxelles stp,VALID
438,je pars de villeneuve-d'ascq arrivée la seyne-sur-mer,VALID
439,DE  GRASSE  À  GENÈVE,VALID
440,je veux un train bobigny > évry,VALID
441,comment me rendre à Bruxelles depuis Libourne,VALID
442,je pars de Tours pour rejoindre Nanterre,VALID
443,je veux aller de castres à auch demain matin,VALID
444,jveux aller de châteauroux a La Rochelle,VALID
445,train Saint-Jean-de-Luz Grenoble,VALID
446,"peux-tu me calculer un trajet Arcachon ['le havre', 'Le Havre', 'havre', 'hav']",VALID
447,💨 peux-tu me calculer un trajet Évry Auch,VALID
448,jveux aller de Chartres a Clichy,VALID
449,je vais de Castres à Annecy 🎫,VALID
450,"je dois aller à Nantes depuis ['pau', 'Pau', 'pauu', 'pa'] pour voir ma mère 📍",VALID
451,billet saint-jean-de-luz Tourcoing,VALID
452,peux-tu me calculer un trajet Gap Sartrouville 🚂,VALID
453,aller a Belfort depuis Antony,VALID
454,arrivée hyères départ grasse,VALID
455,"je veux aller de Antibes à ['lille', 'Lille', 'lil', 'lillee']",VALID
456,je veux quitter Évreux pour aller à Saint-Étienne,VALID
457,"j'aimerais aller de Albi jusqu'a ['marseile', 'marseille', 'marseil', 'marseylle']",VALID
