ID,Sentence,VALIDITY
305,Arrivée sarlat-la-canéda origine millau,VALID
306,aller de Aix-en-Provence vers Troyes,VALID
307,départ Hendaye ville d'arrivée Perpignan,VALID
308,arrivee Colmar départ Sevres,VALID
309,depart Orléans dest Montreuil,VALID
310,j'aimerais aller depuis Blois à Annecy,VALID
311,déplacement Colmar Arles,VALID
312,aller en partant de Libourne jusqu'à Grasse,VALID
313,direction Barcelona quittant Saint-Denis,VALID
314,j'aimerais aller en partant de Issy-les-Moulineaux vers Amiens,VALID
315,je pars de Toulon arrivée Chartres,VALID
316,je veux rejoindre Saint-Denis de Briançon,VALID
317,j'aimerais aller de Meaux vers Aix-en-Provence,VALID
318,direction Nîmes depuis Biarritz,VALID
319,depuis Blois direction Niort,VALID
320,je veux quitter depuis Nice à Nîmes,VALID
321,je pars depuis auxerre pour arriver bayonne,VALID
322,je veux quitter Madrid pour aller pour Arcachon,VALID
323,aller simple de Millau jusqu'à Brest,VALID
324,arrivé Le Havre point de depart Nimes,VALID
325,trajet de troyes vers niort,VALID
326,Grenoble - Brive-la-Gaillarde,VALID
327,je vais à partir de Marseille jusqu'à Bergerac,VALID
328,arrivée Arles départ Perpignan,VALID
329,Nîmes → Strasbourg,VALID
330,je vais depuis Clamart vers Nevers,VALID
331,j'aimerais aller à partir de Nevers en direction de Pessac,VALID
332,je cherche un train à partir de Perpignan vers Bourges,VALID
333,direction Bayonne depuis Laval,VALID
334,je veu quitter Saint-Paul pour aller vers Courbevoie,VALID
335,je vais depuis Limoges en direction de Cergy,VALID
336,donne moi un parcours de Laval vers Saint-Paul,VALID
337,de Dijon à Metz,VALID
338,Le havre - saint-étienne,VALID
339,voyage Bobigny Montpellier,VALID
340,je veux me déplacer depuis Neuilly-sur-Seine pour Sartrouville,VALID
341,depart Mantes-la-Jolie dest Saint-Denis,VALID
342,VOYAGE AIX-EN-PROVENCE GIRONA,VALID
343,Arrivée paris point de départ mende,VALID
344,je pars quittant Mérignac arrivée Évreux,VALID
345,itinéraire Auch Metz,VALID
346,je souhaite me rendre pour Hendaye quittant Reims,VALID
347,itinéraire Sarlat-la-Canéda Figueres,VALID
348,de Valencia à La Seyne-sur-Mer,VALID
349,depuis Bergerac direction Girona,VALID
350,donne moi un parcours en partant de Hyères vers Poitiers,VALID
351,Cergy - Saint-Paul,VALID
352,je veux rejoindre Asnières-sur-Seine de Grasse,VALID
353,depuis Carcassonne jusqu'à Narbonne,VALID
354,train Cannes Libourne,VALID
355,je pars de Montauban pour aller Grasse,VALID
356,direction Rouen de Montauban,VALID
357,Limoges → Roubaix,VALID
358,train Grasse Aix-en-Provence,VALID
359,Barcelona - Saint-Maur-des-Fossés,VALID
360,depuis Sèvres jusqu'à Limoges,VALID
361,voyage Montreuil Madrid,VALID
362,départ gap ville d'arrivée le havre,VALID
363,aller à partir de Besançon en direction de Carcassonne,VALID
364,je pars à partir de Villeneuve-d'Ascq pour arriver Nice,VALID
365,j'aimerais aller depuis Lille à Dunkirk,VALID
366,origine Foix point d'arrivée Neuilly-sur-Seine,VALID
367,direction Dax à partir de Mantes-la-Jolie,VALID
368,je souhaite me rendre à Auxerre en partant de Gourdon,VALID
369,Digne-les-Bains → La Seyne-sur-Mer,VALID
370,je cherche un train depuis Mérignac vers La Seyne-sur-Mer,VALID
371,donne moi un trajet depuis Toulon jusqu'à Valencia,VALID
372,depuis Besançon jusqu'à Neuilly-sur-Seine,VALID
373,depuis Fontenay-sous-Bois jusqu'à Caen,VALID
374,point de départ Girona arrivée Mantes-la-Jolie,VALID
375,itinéraire Pantin Vincennes,VALID
376,je souhaite me rendre en direction de Marseille en partant de Orléans,VALID
377,je cherche un train de Briançon vers Lons-le-Saunier,VALID
378,depuis Amiens jusqu'à Bergerac,VALID
379,depuis Châteauroux direction Mantes-la-Jolie,VALID
380,itinéraire Moulins Bergerac,VALID
381,voyage Boulogne-Billancourt Rouen,VALID
382,je veux quitter Aulnay-sous-Bois pour aller pour Colombes,VALID
383,je voudrais voyager en partant de Briançon vers Gourdon,VALID
384,aller quittant Aix-en-Provence à Évreux,VALID
385,je veux quitter Auch pour aller pour Auxerre,VALID
386,depart Biarritz dest Rouen,VALID
387,Chemin moulins blois,VALID
388,Peux-tu me trouver un train de la seyne-sur-mer jusqu'à toulouse,VALID
389,aller en partant de Antony jusqu'à Vitry-sur-Seine,VALID
390,JE CHERCHE UN TRAIN QUITTANT AUCH VERS MANTES-LA-JOLIE,VALID
391,je veux me rendre depuis Nantes en direction de Boulogne-Billancourt,VALID
392,train lorient moulins,VALID
393,Départ boulogne-billancourt destination nevers,VALID
394,depuis Rouen direction Sartrouville,VALID
395,Je veux me rendre quittant clamart à roubaix,VALID
396,train Mantes-la-Jolie Périgueux,VALID
397,je pars en partant de Vannes pour me rendre Marseille,VALID
398,donne moi un voyage depuis Brive-la-Gaillarde pour Bilbao,VALID
399,trajet depuis Rouen vers Pessac,VALID
400,de Bergerac à Pau,VALID
401,arrivée Montreuil origine Brive-la-Gaillarde,VALID
402,depart Marseille dest Agen,VALID
403,DEPUIS CLAMART JUSQU'À VERSAILLES,VALID
404,voyage Nancy Argenteuil,VALID
405,j'aimerais aller en partant de Auxerre à Saint-Paul,VALID
406,aller simple depuis Narbonne pour Lyon,VALID
407,JE PARS EN PARTANT DE CLICHY POUR VOYAGER SAINT-ÉTIENNE,VALID
408,depuis Montpellier direction Nîmes,VALID
409,je pars en partant de Bergerac pour me déplacer Le Mans,VALID
410,depart Annecy dest Carcassonne,VALID
411,je pars depuis Perpignan pour rejoindre Périgueux,VALID
412,CHEMIN SAINT-ÉTIENNE BONDY,VALID
413,itinéraire Aulnay-sous-Bois Niort,VALID
414,peux-tu me trouver un train de Arcachon à Strasbourg,VALID
415,je voudrais me rendre de Noisy-le-Grand en direction de Vitry-sur-Seine,VALID
416,itinéraire Vannes Rouen,VALID
417,je voudrais me rendre quittant Strasbourg pour Pau,VALID
418,Madrid - Digne-les-Bains,VALID
419,point de départ Argenteuil point d'arrivée Dijon,VALID
420,Donne moi un itinéraire quittant mulhouse jusqu'à vincennes,VALID
421,billet Figueres Nice,VALID
422,donne moi un trajet depuis Dunkirk vers Colmar,VALID
423,arrivée Figueres départ Châlons-en-Champagne,VALID
424,train Auch Villeneuve-d'Ascq,VALID
425,départ Poitiers destination Saint-Jean-de-Luz,VALID
426,aller simple en partant de Nancy à Nantes,VALID
427,depuis Cahors jusqu'à Gap,VALID
428,je cherche un train en partant de Bayonne vers Toulouse,VALID
429,voyage Libourne Bergerac,VALID
430,je voudrais quitter quittant Marseille jusqu'à Bobigny,VALID
431,Je veux aller à partir de caen pour villeneuve-d'ascq,VALID
432,depart Grenoble dest Rodez,VALID
433,je veux quitter en partant de Cannes jusqu'à Aulnay-sous-Bois,VALID
434,je pars quittant Toulouse pour aller Châteauroux,VALID
435,je veux quitter Limoges pour aller jusqu'à Castres,VALID
436,JE VEUX REJOINDRE TOURCOING DE BOURGES,VALID
437,je vais à partir de Toulon en direction de Figeac,VALID
438,depuis Brive-la-Gaillarde direction Strasbourg,VALID
439,Figueres - Nevers,VALID
440,chemin Rennes Arles,VALID
441,depuis Valencia jusqu'à Toulouse,VALID
442,JE DOIS ALLER VERS LONS-LE-SAUNIER DEPUIS SAINT-ÉTIENNE,VALID
443,train Briançon Niort,VALID
444,je dois aller pour le havre en partant de drancy,VALID
445,aller de Dijon vers Hendaye,VALID
446,depuis Dunkirk jusqu'à Perpignan,VALID
447,depuis Briançon direction Libourne,VALID
448,je vais en partant de La Seyne-sur-Mer en direction de Tourcoing,VALID
449,je veux rejoindre Poitiers à partir de Metz,VALID
450,Carcassonne - Marseille,VALID
451,Mantes-la-Jolie → Clermont-Ferrand,VALID
452,parcours Auch Clichy,VALID
453,depuis Niort jusqu'à Arcachon,VALID
454,Alès - Mantes-la-Jolie,VALID
455,je veux rejoindre quittant Dax en direction de Auxerre,VALID
456,je veux partir depuis Saint-Denis à Saint-Paul,VALID
457,je voudrais aller quittant Villeurbanne en direction de Pessac,VALID
458,trajet en partant de Biarritz vers Mérignac,VALID
459,je cherche un train à partir de Nice vers San Sebastián,VALID
460,depart San Sebastián dest Grasse,VALID
461,je vais à partir de Le Havre pour Saint-Denis,VALID
462,arrivée Bergerac départ Créteil,VALID
463,depart Saint-Paul dest Dax,VALID
464,depuis Mulhouse direction Vincennes,VALID
465,Tours - Mulhouse,VALID
466,donne moi un itinéraire en partant de Nice vers Brest,VALID
467,ville de départ Lorient destination Annecy,VALID
468,itinéraire Béziers Chartres,VALID
469,je cherche un train à partir de Vincennes vers Troyes,VALID
470,donne moi un itinéraire depuis Amiens en direction de Hendaye,VALID
471,aller simple à partir de Champigny-sur-Marne pour Lille,VALID
472,J'aimerais aller depuis neuilly-sur-seine pour alès,VALID
473,donne moi un chemin quittant Barcelona en direction de Chartres,VALID
474,Départ nîmes ville d'arrivée libourne,VALID
475,depuis Le Mans direction Rouen,VALID
476,je veux quitter Nanterre pour aller pour Bobigny,VALID
477,chemin Antibes Cannes,VALID
478,j'aimerais aller quittant Évry jusqu'à Meaux,VALID
479,depuis Boulogne-Billancourt direction Grasse,VALID
480,déplacement Arcachon Agen,VALID
481,donne moi un trajet quittant Alès vers Valencia,VALID
482,j'aimerais aller de Villeneuve-d'Ascq pour Bondy,VALID
483,Digne-les-Bains → Saint-Paul,VALID
484,Montpellier → nevers,VALID
485,depuis blois jusqu'à auch,VALID
486,donne moi un voyage de Versailles pour Albi,VALID
487,je voudrais partir quittant Sèvres à Bilbao,VALID
488,billet lille épinay-sur-seine,VALID
489,donne moi un itinéraire en partant de Brive-la-Gaillarde pour Brest,VALID
490,origine Grasse destination Millau,VALID
491,Je vais depuis bayonne à issy-les-moulineaux,VALID
492,je veux quitter depuis Bondy à Moulins,VALID
493,depart Digne-les-Bains dest Madrid,VALID
494,depuis Béziers direction Albi,VALID
495,arrivé Sète depart Le Mans,VALID
496,billet Fontenay-sous-Bois Angers,VALID
497,de Versailles à Villeneuve-d'Ascq,VALID
498,train Briançon Nanterre,VALID
499,je cherche un train à partir de Caen vers Lyon,VALID
500,je voudrais partir quittant Châteauroux vers Metz,VALID
501,Boulogne-Billancourt - Saint-Maur-des-Fossés,VALID
502,donne moi un chemin de niort en direction de strasbourg,VALID
503,je veux quitter Niort pour aller jusqu'à Boulogne-Billancourt,VALID
504,aller depuis Poitiers pour Brive-la-Gaillarde,VALID
505,donne moi un voyage quittant Marseille en direction de Reims,VALID
506,je pars depuis Toulouse pour aller Roubaix,VALID
507,départ Nantes arrivée Mérignac,VALID
508,je souhaite me rendre à Nanterre depuis Hyères,VALID
509,je cherche un train en partant de Poitiers vers Saint-Denis,VALID
510,San Sebastián - Privas,VALID
511,je veux quitter Valence pour aller à Pantin,VALID
512,je veux voyager en partant de Bourges pour La Seyne-sur-Mer,VALID
513,ville de départ Le Havre ville d'arrivée Paris,VALID
514,billet Amiens Valence,VALID
515,peux-tu me trouver un train en partant de Montpellier à Perpignan,VALID
516,voyage Bondy Briançon,VALID
517,origine privas ville d'arrivée versailles,VALID
518,train Paris Vannes,VALID
519,billet Clermont-Ferrand Besançon,VALID
520,je cherche un train de Calais vers Bourges,VALID
521,aller simple en partant de digne-les-bains vers créteil,VALID
522,JE VEUX QUITTER DAX POUR ALLER POUR FIGEAC,VALID
523,de Champigny-sur-Marne à Arles,VALID
524,je souhaite me rendre jusqu'à Dunkirk à partir de Évreux,VALID
525,train Dax Dunkirk,VALID
526,je pars de Biarritz pour arriver La Rochelle,VALID
527,départ Rodez arrivée Le Mans,VALID
528,VOYAGE FIGEAC AVIGNON,VALID
529,J'aimerais aller de lons-le-saunier vers toulouse,VALID
530,depuis Colmar direction Grenoble,VALID
531,Vincennes - Bergerac,VALID
532,je pars à partir de Saint-Étienne pour me déplacer Caen,VALID
533,arrivée Argenteuil ville de départ Paris,VALID
534,je cherche un train quittant Valence vers Villeurbanne,VALID
535,je vais à partir de Metz vers La Rochelle,VALID
536,ITINÉRAIRE CRÉTEIL NANTERRE,VALID
